qa_id,route,split
200163,OTHER,outscope
200056,PRODUCT_INFO,eval
200033,ORDER_PLACE,fewshot
200153,RETURN_REFUND,eval
200142,RETURN_REFUND,fewshot
200069,PRODUCT_INFO,eval
200048,PRODUCT_INFO,eval
200098,SHIPPING,eval
200171,OTHER,outscope
200020,ORDER_PLACE,fewshot
200025,ORDER_PLACE,eval
200124,RETURN_REFUND,eval
200014,ORDER_PLACE,eval
200106,SHIPPING,fewshot
200154,RETURN_REFUND,eval
200096,SHIPPING,eval
200113,SHIPPING,eval
200085,SHIPPING,fewshot
200004,ORDER_PLACE,eval
200064,PRODUCT_INFO,eval
200019,ORDER_PLACE,eval
200082,SHIPPING,eval
200121,RETURN_REFUND,eval
200028,ORDER_PLACE,eval
200103,SHIPPING,eval
200089,SHIPPING,eval
200123,RETURN_REFUND,eval
200067,PRODUCT_INFO,eval
200021,ORDER_PLACE,eval
200169,OTHER,outscope
200152,RETURN_REFUND,eval
200068,PRODUCT_INFO,eval
200047,PRODUCT_INFO,eval
200051,PRODUCT_INFO,fewshot
200024,ORDER_PLACE,eval
200188,OTHER,outscope
200143,RETURN_REFUND,eval
200093,SHIPPING,eval
200083,SHIPPING,eval
200003,ORDER_PLACE,fewshot
200016,ORDER_PLACE,eval
200158,RETURN_REFUND,fewshot
200156,RETURN_REFUND,fewshot
200027,ORDER_PLACE,eval
200081,SHIPPING,fewshot
200088,SHIPPING,fewshot
200061,PRODUCT_INFO,eval
200034,ORDER_PLACE,eval
200122,RETURN_REFUND,eval
200170,OTHER,outscope
200046,PRODUCT_INFO,eval
200041,PRODUCT_INFO,eval
200044,PRODUCT_INFO,eval
200090,SHIPPING,eval
200070,PRODUCT_INFO,eval
200042,PRODUCT_INFO,fewshot
200076,PRODUCT_INFO,eval
200053,PRODUCT_INFO,eval
200102,SHIPPING,fewshot
200115,SHIPPING,eval
200192,OTHER,outscope
200139,RETURN_REFUND,eval
200147,RETURN_REFUND,fewshot
200164,OTHER,outscope
200071,PRODUCT_INFO,eval
200040,ORDER_PLACE,eval
200193,OTHER,outscope
200148,RETURN_REFUND,eval
200183,OTHER,outscope
200012,ORDER_PLACE,fewshot
200072,PRODUCT_INFO,eval
200010,ORDER_PLACE,fewshot
200179,OTHER,outscope
200073,PRODUCT_INFO,fewshot
200134,RETURN_REFUND,eval
200168,OTHER,outscope
200063,PRODUCT_INFO,eval
200110,SHIPPING,eval
200079,PRODUCT_INFO,eval
200144,RETURN_REFUND,eval
200133,RETURN_REFUND,eval
200145,RETURN_REFUND,eval
200172,OTHER,outscope
200009,ORDER_PLACE,eval
200032,ORDER_PLACE,eval
200086,SHIPPING,eval
200159,RETURN_REFUND,eval
200189,OTHER,outscope
200066,PRODUCT_INFO,eval
200130,RETURN_REFUND,eval
200112,SHIPPING,eval
200137,RETURN_REFUND,fewshot
200011,ORDER_PLACE,fewshot
200114,SHIPPING,eval
200054,PRODUCT_INFO,eval
200167,OTHER,outscope
200052,PRODUCT_INFO,fewshot
200005,ORDER_PLACE,eval
200119,SHIPPING,eval
200037,ORDER_PLACE,eval
200095,SHIPPING,eval
200157,RETURN_REFUND,eval
200182,OTHER,outscope
200184,OTHER,outscope
200190,OTHER,outscope
200126,RETURN_REFUND,eval
200077,PRODUCT_INFO,fewshot
200060,PRODUCT_INFO,eval
200180,OTHER,outscope
200181,OTHER,outscope
200109,SHIPPING,fewshot
200116,SHIPPING,eval
200084,SHIPPING,eval
200036,ORDER_PLACE,eval
200129,RETURN_REFUND,eval
200035,ORDER_PLACE,eval
200108,SHIPPING,eval
200104,SHIPPING,eval
200087,SHIPPING,eval
200150,RETURN_REFUND,fewshot
200105,SHIPPING,fewshot
200094,SHIPPING,eval
200127,RETURN_REFUND,eval
200138,RETURN_REFUND,eval
200015,ORDER_PLACE,eval
200117,SHIPPING,eval
200022,ORDER_PLACE,eval
200006,ORDER_PLACE,eval
200146,RETURN_REFUND,eval
200049,PRODUCT_INFO,fewshot
200080,PRODUCT_INFO,eval
200176,OTHER,outscope
200031,ORDER_PLACE,fewshot
200057,PRODUCT_INFO,eval
200136,RETURN_REFUND,eval
200187,OTHER,outscope
200062,PRODUCT_INFO,eval
200074,PRODUCT_INFO,eval
200101,SHIPPING,fewshot
200023,ORDER_PLACE,eval
200149,RETURN_REFUND,eval
200186,OTHER,outscope
200029,ORDER_PLACE,eval
200013,ORDER_PLACE,fewshot
200111,SHIPPING,eval
200131,RETURN_REFUND,fewshot
200185,OTHER,outscope
200043,PRODUCT_INFO,eval
200177,OTHER,outscope
200100,SHIPPING,eval
200173,OTHER,outscope
200162,OTHER,outscope
200075,PRODUCT_INFO,eval
200002,ORDER_PLACE,eval
200191,OTHER,outscope
200091,SHIPPING,eval
200050,PRODUCT_INFO,eval
200175,OTHER,outscope
200099,SHIPPING,eval
200178,OTHER,outscope
200107,SHIPPING,eval
200058,PRODUCT_INFO,fewshot
200059,PRODUCT_INFO,eval
200151,RETURN_REFUND,eval
200174,OTHER,outscope
200045,PRODUCT_INFO,fewshot
200008,ORDER_PLACE,eval
200018,ORDER_PLACE,eval
200039,ORDER_PLACE,eval
200038,ORDER_PLACE,fewshot
200078,PRODUCT_INFO,fewshot
200120,SHIPPING,fewshot
200155,RETURN_REFUND,fewshot
200026,ORDER_PLACE,eval
200135,RETURN_REFUND,eval
200166,OTHER,outscope
200118,SHIPPING,eval
200007,ORDER_PLACE,eval
200165,OTHER,outscope
200132,RETURN_REFUND,eval
200160,RETURN_REFUND,fewshot
200128,RETURN_REFUND,eval
200017,ORDER_PLACE,fewshot
200097,SHIPPING,fewshot
200001,ORDER_PLACE,eval
200092,SHIPPING,eval
200140,RETURN_REFUND,eval
200125,RETURN_REFUND,fewshot
200141,RETURN_REFUND,eval
200055,PRODUCT_INFO,eval
200161,OTHER,outscope
200030,ORDER_PLACE,eval
200065,PRODUCT_INFO,fewshot
